start_ts,user,session_duration,logon_on_own_pc_normal,logon_on_other_pc_normal,logon_on_own_pc_off_hour,logon_on_other_pc_off_hour,logon_hour,day_of_a_week,device_connects_on_own_pc,device_connects_on_other_pc,device_connects_on_own_pc_off_hour,device_connects_on_other_pc_off_hour,documents_copy_own_pc,documents_copy_other_pc,exe_files_copy_own_pc,exe_files_copy_other_pc,documents_copy_own_pc_off_hour,documents_copy_other_pc_off_hour,exe_files_copy_own_pc_off_hour,exe_files_copy_other_pc_off_hour,neutral_sites,job_search,hacking_sites,neutral_sites_off_hour,job_search_off_hour,hacking_sites_off_hour,total_emails,int_to_int_mails,int_to_out_mails,out_to_int_mails,out_to_out_mails,internal_recipients,external_recipients,distinct_bcc,mails_with_attachments,after_hour_mails,role,business_unit,functional_unit,department,team,O,C,E,A,N,class,type
1262572200,FBA0348,29340,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,5,3,0,7,9,12,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1262658660,FBA0348,28620,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,13,13,1,0,0,19,2,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1262744100,FBA0348,29940,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,11,0,0,3,12,10,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1262831400,FBA0348,28680,1,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,14,0,0,0,21,2,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1262917080,FBA0348,29400,1,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,8,1,0,6,14,10,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1263176700,FBA0348,29340,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,11,0,0,3,14,8,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1263263100,FBA0348,29220,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,7,1,0,7,11,13,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1263349860,FBA0348,28680,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,13,1,0,1,15,5,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1263435540,FBA0348,29340,1,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,5,1,0,8,9,17,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1263522720,FBA0348,28620,1,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,13,5,0,0,8,9,11,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1263781200,FBA0348,29280,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,6,2,0,7,6,14,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1263867840,FBA0348,29880,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,5,1,0,9,7,14,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1263954540,FBA0348,28860,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,11,1,0,2,16,7,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1264041000,FBA0348,28800,1,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1264127400,FBA0348,28800,1,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,10,0,0,4,13,10,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1264386300,FBA0348,29100,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,12,2,0,1,18,3,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1264473060,FBA0348,29340,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,10,1,0,3,16,10,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1264558680,FBA0348,30360,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,11,1,0,2,17,6,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1264645920,FBA0348,28620,1,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,4,0,0,10,5,11,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
1264732200,FBA0348,28740,1,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,14,11,0,0,3,13,6,0,0,0,ITAdmin,1,1,6,3,41,44,40,36,27,0,0
